id,original_name,normalized_name
06f2c23c-c22d-43af-9e86-b74b033d2342,None,none
ec517dab-5c78-4287-bf99-5a395ce065ae,None,none
3677b720-98d2-41e6-b927-79bae9453f63,None,none
41902e21-ddfe-496c-8d64-9ed2d418d29a,None,none
9a31cb3e-7140-442c-a6ae-12064a071f37,None,none
56493089-3d57-44fc-ab24-c7c431de7e49,None,none
801f9c5a-68f5-45c4-9b0d-e6cfae549eb1,None,none
ef60f4ed-eb51-415e-a33f-9cddab75492e,MGIC Investment Corporation,mgic investment corporation
a7227d82-35ec-4a72-9a79-67adeb7861e0,MGIC Investment Corporation,mgic investment corporation
7b926360-ed8e-4135-b9f4-d2372ee2053e,MGIC Investment Corporation,mgic investment corporation
443946d9-89a7-4052-895e-adface419008,MGIC Investment Corporation,mgic investment corporation
8f7cc4c3-f291-4872-8cce-d2f4bade30fc,Zurn Elkay Water Solutions,zurn elkay water solutions
8ffe6ca2-7a83-41aa-9af1-7e6aa462ee0e,Zurn Elkay Water Solutions,zurn elkay water solutions
c44987f9-65a6-4ddc-81d1-7f783541bcac,Zurn Elkay Water Solutions,zurn elkay water solutions
615d6cad-3fa9-4c12-ba6f-10bb8fa707ff,Zurn Elkay Water Solutions,zurn elkay water solutions
2506589c-5905-4e96-a93e-18ac1515a87b,Town Bank,town bank
3562cc5f-ae0f-4f3c-90e2-985f9aa9a74e,Town Bank,town bank
2db305c5-a65c-4916-91ea-4e6a4ad915f0,Town Bank,town bank
ebbadab0-fea9-4153-9eeb-20bea8ff81a4,Town Bank,town bank
